Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
/film/film/other_crew./film/film_crew_gig/crewmember	26	291.12	19.23	0.0	5.18	284.25	21.15	0.0	5.67
/organization/organization/headquarters./location/mailing_address/state_province_region	39	280.77	30.77	6.41	13.31	256.14	30.77	6.41	13.48
/education/field_of_study/students_majoring./education/education/major_field_of_study	11	27.18	31.82	0.0	10.14	22.68	31.82	0.0	11.99
/base/locations/continents/countries_within	5	40.8	50.0	30.0	37.89	25.8	60.0	30.0	40.36
/award/award_winning_work/awards_won./award/award_honor/award	118	101.39	20.34	2.54	8.52	91.28	25.0	5.51	12.75
/organization/organization/child./organization/organization_relationship/child	20	865.63	10.0	0.0	4.56	863.75	10.0	0.0	4.59
/film/film/genre	722	331.98	32.06	5.47	13.36	193.49	39.61	13.57	22.34
/olympics/olympic_participating_country/athletes./olympics/olympic_athlete_affiliation/olympics	31	50.16	43.55	11.29	20.81	16.77	64.52	16.13	29.61
/people/person/place_of_birth	170	1397.21	9.71	2.94	5.71	1377.38	9.71	2.94	5.72
/language/human_language/countries_spoken_in	25	62.56	20.0	4.0	9.21	56.4	20.0	4.0	9.67
/celebrities/celebrity/celebrity_friends./celebrities/friendship/friend	1	27.0	50.0	0.0	9.38	24.5	50.0	0.0	9.5
/education/educational_institution/campuses	13	1.0	100.0	100.0	100.0	1.0	100.0	100.0	100.0
/base/culturalevent/event/entity_involved	20	698.75	5.0	0.0	2.56	696.02	7.5	0.0	2.96
/award/award_category/winners./award/award_honor/award_winner	217	252.2	24.88	4.38	11.01	239.91	31.57	5.99	14.21
/organization/organization/headquarters./location/mailing_address/country	7	326.71	42.86	42.86	43.03	254.64	42.86	42.86	43.76
/education/university/domestic_tuition./measurement_unit/dated_money_value/currency	5	168.7	50.0	40.0	42.73	53.6	50.0	40.0	43.03
/olympics/olympic_games/sports	13	14.73	38.46	7.69	15.78	4.73	76.92	30.77	48.97
/sports/sports_team/sport	53	94.42	51.89	45.28	48.59	22.11	81.13	57.55	67.02
/people/profession/specialization_of	13	1267.12	15.38	3.85	8.79	1264.81	19.23	3.85	10.45
/award/award_category/winners./award/award_honor/ceremony	323	30.23	27.86	2.17	10.55	8.47	86.22	33.44	49.97
/music/instrument/instrumentalists	153	142.5	32.03	4.9	13.29	98.21	39.54	9.8	19.44
/medicine/disease/risk_factors	13	350.73	38.46	7.69	18.01	345.42	46.15	7.69	21.08
/award/award_winning_work/awards_won./award/award_honor/award_winner	24	215.9	12.5	4.17	7.65	213.6	12.5	6.25	9.51
/sports/sports_team/colors	77	131.37	44.81	3.9	18.21	78.49	48.7	11.04	24.94
/music/performance_role/guest_performances./music/recording_contribution/performance_role	2	35.75	50.0	0.0	8.55	34.0	50.0	0.0	12.26
/award/ranked_item/appears_in_ranked_lists./award/ranking/list	48	54.42	53.13	28.13	39.12	28.92	69.79	46.88	54.07
/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency	3	173.33	66.67	0.0	22.84	60.0	66.67	0.0	25.75
/education/educational_degree/people_with_this_degree./education/education/institution	287	127.22	41.99	6.62	17.58	53.84	59.23	25.61	37.17
/film/film/costume_design_by	13	140.65	38.46	19.23	28.26	135.04	38.46	19.23	28.52
/tv/tv_program/tv_producer./tv/tv_producer_term/producer_type	11	81.73	45.45	45.45	46.17	25.36	45.45	45.45	47.97
/film/person_or_entity_appearing_in_film/films./film/personal_film_appearance/type_of_appearance	3	212.17	50.0	33.33	36.26	199.17	50.0	33.33	36.91
/film/film/written_by	26	440.46	11.54	0.0	2.79	439.15	13.46	0.0	2.9
/location/statistical_region/religions./location/religion_percentage/religion	60	33.92	33.33	3.33	12.4	18.93	74.17	15.83	32.22
/government/governmental_body/members./government/government_position_held/legislative_sessions	12	16.0	54.17	25.0	39.45	1.0	100.0	100.0	100.0
/education/university/fraternities_and_sororities	21	60.76	52.38	26.19	38.98	39.4	61.9	33.33	45.24
/soccer/football_team/current_roster./soccer/football_roster_position/position	10	299.6	50.0	0.0	13.84	50.3	50.0	35.0	43.23
/travel/travel_destination/how_to_get_here./travel/transportation/mode_of_transportation	20	30.2	50.0	2.5	22.62	8.72	77.5	47.5	57.35
/film/film/dubbing_performances./film/dubbing_performance/actor	8	98.69	43.75	12.5	21.61	95.88	62.5	18.75	26.43
/military/military_combatant/military_conflicts./military/military_combatant_group/combatants	17	63.62	11.76	0.0	4.76	50.38	38.24	0.0	10.05
/film/actor/film./film/performance/film	836	600.77	5.56	0.9	2.68	594.12	7.06	1.26	3.39
/food/food/nutrients./food/nutrition_fact/nutrient	105	25.74	20.48	1.43	8.55	2.41	99.05	59.05	71.49
/people/ethnicity/languages_spoken	29	69.17	34.48	3.45	13.13	64.62	50.0	8.62	19.23
/user/jg/default_domain/olympic_games/sports	11	17.77	40.91	0.0	11.11	8.32	81.82	13.64	36.08
/education/field_of_study/students_majoring./education/education/student	34	502.88	23.53	4.41	11.14	498.34	23.53	5.88	12.05
/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office	91	108.47	51.65	15.38	28.46	75.75	60.99	28.57	40.72
/ice_hockey/hockey_team/current_roster./sports/sports_team_roster/position	4	23.13	50.0	0.0	20.95	4.75	87.5	0.0	32.09
/film/film/personal_appearances./film/personal_film_appearance/person	11	218.55	18.18	4.55	9.76	216.41	22.73	4.55	10.25
/film/film/estimated_budget./measurement_unit/dated_money_value/currency	151	605.62	49.34	46.36	47.63	77.91	53.31	47.02	49.65
/people/person/profession	1311	629.38	39.32	8.54	17.78	252.58	49.73	21.36	31.01
/time/event/locations	34	128.71	25.0	1.47	9.93	125.19	38.24	2.94	12.65
/music/instrument/family	6	56.67	8.33	0.0	4.53	54.17	8.33	0.0	4.59
/location/location/adjoin_s./location/adjoining_relationship/adjoins	55	82.28	50.0	0.0	16.57	80.26	58.18	0.0	21.25
/film/film/release_date_s./film/film_regional_release_date/film_regional_debut_venue	20	278.9	40.0	12.5	23.14	268.4	40.0	15.0	25.53
/base/biblioness/bibs_location/country	14	245.96	32.14	17.86	23.17	158.07	32.14	17.86	23.26
/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony	53	624.92	48.11	35.85	39.32	419.25	50.94	37.74	41.72
/education/educational_institution/students_graduates./education/education/major_field_of_study	321	121.04	24.3	2.8	9.38	97.65	37.07	7.32	16.87
/education/university/local_tuition./measurement_unit/dated_money_value/currency	1	239.5	50.0	0.0	25.1	88.5	50.0	0.0	25.29
/film/film/produced_by	60	509.18	15.83	4.17	8.36	505.2	16.67	5.0	9.41
/organization/role/leaders./organization/leadership/organization	70	185.25	49.29	32.86	38.78	75.49	52.86	33.57	40.8
/film/film/story_by	31	565.53	27.42	8.06	14.79	563.63	30.65	9.68	17.04
/sports/professional_sports_team/draft_picks./sports/sports_league_draft_pick/school	86	165.84	20.93	8.14	13.47	151.73	24.42	8.72	15.27
/award/award_category/disciplines_or_subjects	15	44.4	43.33	3.33	20.56	34.87	60.0	20.0	33.9
