Relation	Num	MR	hits@10	hits@1	MRR	FMR	Fhits@10	Fhits@1	FMRR
/film/film/dubbing_performances./film/dubbing_performance/actor	8	20.31	56.25	12.5	0.239	15.94	62.5	31.25	0.432
/military/military_combatant/military_conflicts./military/military_combatant_group/combatants	17	25.94	0.0	0.0	0.041	7.06	85.29	0.0	0.193
/film/actor/film./film/performance/film	836	816.73	5.02	0.12	0.02	809.19	10.05	2.09	0.051
/food/food/nutrients./food/nutrition_fact/nutrient	105	35.36	4.76	0.0	0.042	1.75	100.0	72.86	0.82
/people/ethnicity/languages_spoken	29	53.14	53.45	3.45	0.161	46.72	67.24	22.41	0.352
/user/jg/default_domain/olympic_games/sports	11	22.55	0.0	0.0	0.045	5.73	100.0	0.0	0.191
/education/field_of_study/students_majoring./education/education/student	34	809.38	26.47	1.47	0.102	804.12	27.94	5.88	0.141
/government/government_office_category/officeholders./government/government_position_held/jurisdiction_of_office	91	147.54	45.6	9.89	0.239	104.62	65.38	40.66	0.495
/ice_hockey/hockey_team/current_roster./sports/sports_team_roster/position	4	24.38	50.0	0.0	0.178	4.63	100.0	37.5	0.505
/film/film/personal_appearances./film/personal_film_appearance/person	11	1279.27	22.73	13.64	0.16	1276.59	31.82	13.64	0.191
/film/film/estimated_budget./measurement_unit/dated_money_value/currency	151	526.62	50.33	48.34	0.493	57.85	55.63	49.67	0.522
/people/person/profession	1311	738.22	40.81	4.5	0.143	300.54	49.85	24.64	0.335
/time/event/locations	34	230.51	29.41	2.94	0.106	225.79	44.12	8.82	0.187
/music/instrument/family	6	27.33	41.67	0.0	0.096	23.83	41.67	0.0	0.109
/location/location/adjoin_s./location/adjoining_relationship/adjoins	55	138.3	36.36	0.91	0.099	135.55	49.09	0.91	0.136
/film/film/release_date_s./film/film_regional_release_date/film_regional_debut_venue	20	143.5	40.0	10.0	0.207	128.72	45.0	20.0	0.292
/base/biblioness/bibs_location/country	14	232.29	50.0	35.71	0.408	143.96	50.0	35.71	0.41
/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony	53	724.66	50.0	50.0	0.501	497.13	54.72	50.0	0.516
